system,name,param,mr_score,ansatz,layers,n_qubits,n_params,depth,n_2q,E_HF,E_FCI,E_VQE,vqe_error,target_error,meets_target,noon_0,noon_1,noon_2,noon_3
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033958,HEA,2.0,8,16.0,12.0,14.0,-1.8822587165363776,-1.9697708824266784,-1.5356864008520663,0.4340844815746121,0.0016,False,2.2582012272313534,0.8552443494382859,0.312979129378876,0.1551497066175874
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033958,HEA,3.0,8,24.0,15.0,21.0,-1.8822587165363776,-1.9697708824266784,-1.6332177472972613,0.3365531351294171,0.0016,False,2.2582012272313534,0.8552443494382859,0.312979129378876,0.1551497066175874
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033958,HEA,4.0,8,32.0,18.0,28.0,-1.8822587165363776,-1.9697708824266784,-1.4963425392881735,0.4734283431385049,0.0016,False,2.2582012272313534,0.8552443494382859,0.312979129378876,0.1551497066175874
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033958,HEA,5.0,8,40.0,21.0,35.0,-1.8822587165363776,-1.9697708824266784,-1.6796147080112287,0.2901561744154497,0.0016,False,2.2582012272313534,0.8552443494382859,0.312979129378876,0.1551497066175874
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033958,HEA,6.0,8,48.0,24.0,42.0,-1.8822587165363776,-1.9697708824266784,-1.7858507787279028,0.18392010369877565,0.0016,False,2.2582012272313534,0.8552443494382859,0.312979129378876,0.1551497066175874
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033958,HEA_required,,8,,,,-1.8822587165363776,-1.9697708824266784,,,0.0016,False,2.2582012272313534,0.8552443494382859,0.312979129378876,0.1551497066175874
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033958,UCCSD,0.0,8,0.0,0.0,0.0,-1.8822587165363776,-1.9697708824266784,,,,,2.2582012272313534,0.8552443494382859,0.312979129378876,0.1551497066175874
H4,H4_sq_d+0.15_a1.00,0.15,0.9814622292408848,HEA,1.0,8,8.0,9.0,7.0,-1.9815604078555373,-2.0477474708670447,-0.5928225248968172,1.4549249459702276,0.0016,False,2.153009106921978,0.8588876564896384,0.14839523760648124,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.9814622292408848,HEA,2.0,8,16.0,12.0,14.0,-1.9815604078555373,-2.0477474708670447,-1.8070116193675458,0.24073585149949883,0.0016,False,2.153009106921978,0.8588876564896384,0.14839523760648124,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.9814622292408848,HEA,3.0,8,24.0,15.0,21.0,-1.9815604078555373,-2.0477474708670447,-1.799585661557413,0.2481618093096316,0.0016,False,2.153009106921978,0.8588876564896384,0.14839523760648124,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.9814622292408848,HEA,4.0,8,32.0,18.0,28.0,-1.9815604078555373,-2.0477474708670447,-1.0209781866776781,1.0267692841893665,0.0016,False,2.153009106921978,0.8588876564896384,0.14839523760648124,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.9814622292408848,HEA,5.0,8,40.0,21.0,35.0,-1.9815604078555373,-2.0477474708670447,-1.7121936001614386,0.33555387070560605,0.0016,False,2.153009106921978,0.8588876564896384,0.14839523760648124,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.9814622292408848,HEA,6.0,8,48.0,24.0,42.0,-1.9815604078555373,-2.0477474708670447,-1.91734911850257,0.13039835236447472,0.0016,False,2.153009106921978,0.8588876564896384,0.14839523760648124,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.9814622292408848,HEA_required,,8,,,,-1.9815604078555373,-2.0477474708670447,,,0.0016,False,2.153009106921978,0.8588876564896384,0.14839523760648124,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.9814622292408848,UCCSD,0.0,8,0.0,0.0,0.0,-1.9815604078555373,-2.0477474708670447,,,,,2.153009106921978,0.8588876564896384,0.14839523760648124,0.12718844206674304
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464317,HEA,1.0,8,8.0,9.0,7.0,-2.0580508013390135,-2.1111656292169814,-0.606945731895771,1.5042198973212104,0.0016,False,1.9807216732866988,0.8617217633408711,0.10490702298623557,0.10178957300602366
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464317,HEA,2.0,8,16.0,12.0,14.0,-2.0580508013390135,-2.1111656292169814,-1.679353038494405,0.4318125907225763,0.0016,False,1.9807216732866988,0.8617217633408711,0.10490702298623557,0.10178957300602366
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464317,HEA,3.0,8,24.0,15.0,21.0,-2.0580508013390135,-2.1111656292169814,-1.7434564772243262,0.3677091519926552,0.0016,False,1.9807216732866988,0.8617217633408711,0.10490702298623557,0.10178957300602366
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464317,HEA,4.0,8,32.0,18.0,28.0,-2.0580508013390135,-2.1111656292169814,-1.6315826333745942,0.47958299584238717,0.0016,False,1.9807216732866988,0.8617217633408711,0.10490702298623557,0.10178957300602366
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464317,HEA,5.0,8,40.0,21.0,35.0,-2.0580508013390135,-2.1111656292169814,-1.5875355306150174,0.523630098601964,0.0016,False,1.9807216732866988,0.8617217633408711,0.10490702298623557,0.10178957300602366
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464317,HEA,6.0,8,48.0,24.0,42.0,-2.0580508013390135,-2.1111656292169814,-1.9854558791400492,0.1257097500769322,0.0016,False,1.9807216732866988,0.8617217633408711,0.10490702298623557,0.10178957300602366
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464317,HEA_required,,8,,,,-2.0580508013390135,-2.1111656292169814,,,0.0016,False,1.9807216732866988,0.8617217633408711,0.10490702298623557,0.10178957300602366
H4,H4_sq_d+0.23_a1.00,0.23,1.0876966860464317,UCCSD,0.0,8,0.0,0.0,0.0,-2.0580508013390135,-2.1111656292169814,,,,,1.9807216732866988,0.8617217633408711,0.10490702298623557,0.10178957300602366
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504462,HEA,1.0,8,8.0,9.0,7.0,-2.108022044555556,-2.15143462579355,-0.5928517292745571,1.5585828965189927,0.0016,False,1.8212568731954555,0.8635425626224295,0.08810509047486244,0.08016011724860991
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504462,HEA,2.0,8,16.0,12.0,14.0,-2.108022044555556,-2.15143462579355,-1.6462028594691342,0.5052317663244157,0.0016,False,1.8212568731954555,0.8635425626224295,0.08810509047486244,0.08016011724860991
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504462,HEA,3.0,8,24.0,15.0,21.0,-2.108022044555556,-2.15143462579355,-1.6205116305347664,0.5309229952587835,0.0016,False,1.8212568731954555,0.8635425626224295,0.08810509047486244,0.08016011724860991
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504462,HEA,4.0,8,32.0,18.0,28.0,-2.108022044555556,-2.15143462579355,-1.5849081853212152,0.5665264404723347,0.0016,False,1.8212568731954555,0.8635425626224295,0.08810509047486244,0.08016011724860991
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504462,HEA,5.0,8,40.0,21.0,35.0,-2.108022044555556,-2.15143462579355,-1.665552228331016,0.4858823974625339,0.0016,False,1.8212568731954555,0.8635425626224295,0.08810509047486244,0.08016011724860991
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504462,HEA,6.0,8,48.0,24.0,42.0,-2.108022044555556,-2.15143462579355,-1.9031443243905626,0.24829030140298736,0.0016,False,1.8212568731954555,0.8635425626224295,0.08810509047486244,0.08016011724860991
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504462,HEA_required,,8,,,,-2.108022044555556,-2.15143462579355,,,0.0016,False,1.8212568731954555,0.8635425626224295,0.08810509047486244,0.08016011724860991
H4,H4_sq_d+0.30_a1.00,0.3,1.2105508971504462,UCCSD,0.0,8,0.0,0.0,0.0,-2.108022044555556,-2.15143462579355,,,,,1.8212568731954555,0.8635425626224295,0.08810509047486244,0.08016011724860991
