name,delta,mr_score,layers,E_VQE,E_FCI,E_HF,dE,dE_FCI,dE_HF,success,nfev,message
H4_sq_d-0.08_a1.00,-0.08,1.0651719582034018,2,-1.581524816344796,-1.969770882426677,-1.8822587165363762,0.38824606608188117,0.38824606608188117,0.3007339001915803,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d-0.08_a1.00,-0.08,1.0651719582034018,3,-1.8261806818420636,-1.969770882426677,-1.8822587165363762,0.14359020058461347,0.14359020058461347,0.056078034694312606,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,1,-0.4957949502531763,-1.915106549511803,-1.7610750541330127,1.4193115992586267,1.4193115992586267,1.2652801038798365,True,122,Return from COBYLA because the trust region radius reaches its lower bound.
H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,2,-1.53414575858766,-1.915106549511803,-1.7610750541330127,0.38096079092414303,0.38096079092414303,0.2269292955453528,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,3,-1.7617101938357578,-1.915106549511803,-1.7610750541330127,0.15339635567604515,0.15339635567604515,-0.0006351397027450911,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,1,-0.555093357631993,-1.9697708824266802,-1.8822587165363758,1.4146775247946872,1.4146775247946872,1.3271653589043828,True,122,Return from COBYLA because the trust region radius reaches its lower bound.
H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,2,-1.5815248163444926,-1.9697708824266802,-1.8822587165363758,0.3882460660821876,0.3882460660821876,0.3007339001918832,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,3,-1.8261806818421382,-1.9697708824266802,-1.8822587165363758,0.14359020058454197,0.14359020058454197,0.056078034694237555,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.15_a1.00,0.15,0.981462229240883,1,-0.5928233214562583,-2.0477474708670482,-1.9815604078555364,1.45492414941079,1.45492414941079,1.3887370863992783,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.15_a1.00,0.15,0.981462229240883,2,-1.5054472439155677,-2.0477474708670482,-1.9815604078555364,0.5423002269514805,0.5423002269514805,0.4761131639399687,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.15_a1.00,0.15,0.981462229240883,3,-1.5029802064124635,-2.0477474708670482,-1.9815604078555364,0.5447672644545847,0.5447672644545847,0.4785802014430729,False,250,Return from COBYLA because the objective function has been evaluated MAXFUN times.
H4_sq_d+0.23_a1.00,0.23,1.0876966860464292,1,-0.606945707096505,-2.111165629216984,-2.0580508013390126,1.504219922120479,1.504219922120479,1.4511050942425077,True,243,Return from COBYLA because the trust region radius reaches its lower bound.
