system,name,param,mr_score,ansatz,layers,n_qubits,n_params,depth,n_2q,E_HF,E_FCI,noon_0,noon_1,noon_2,noon_3
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582034018,HEA,2,8,16,11,14,-1.8822587165363762,-1.969770882426677,2.25820122723135,0.8552443494382846,0.31297912937887784,0.15514970661758914
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582034018,HEA,3,8,24,14,21,-1.8822587165363762,-1.969770882426677,2.25820122723135,0.8552443494382846,0.31297912937887784,0.15514970661758914
H4,H4_sq_d-0.08_a1.00,-0.08,1.0651719582034018,UCCSD,0,8,0,0,0,-1.8822587165363762,-1.969770882426677,2.25820122723135,0.8552443494382846,0.31297912937887784,0.15514970661758914
H4,H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,HEA,1,8,8,8,7,-1.7610750541330127,-1.915106549511803,1.4082553711951338,1.4082553711950994,0.8531923909035205,0.17603994493579822
H4,H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,HEA,2,8,16,11,14,-1.7610750541330127,-1.915106549511803,1.4082553711951338,1.4082553711950994,0.8531923909035205,0.17603994493579822
H4,H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,HEA,3,8,24,14,21,-1.7610750541330127,-1.915106549511803,1.4082553711951338,1.4082553711950994,0.8531923909035205,0.17603994493579822
H4,H4_sq_d+0.00_a1.00,0.0,2.2127215934490856,UCCSD,0,8,0,0,0,-1.7610750541330127,-1.915106549511803,1.4082553711951338,1.4082553711950994,0.8531923909035205,0.17603994493579822
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,HEA,1,8,8,8,7,-1.8822587165363758,-1.9697708824266802,2.2582012272313516,0.8552443494382855,0.3129791293788768,0.15514970661758784
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,HEA,2,8,16,11,14,-1.8822587165363758,-1.9697708824266802,2.2582012272313516,0.8552443494382855,0.3129791293788768,0.15514970661758784
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,HEA,3,8,24,14,21,-1.8822587165363758,-1.9697708824266802,2.2582012272313516,0.8552443494382855,0.3129791293788768,0.15514970661758784
H4,H4_sq_d+0.08_a1.00,0.08,1.0651719582033985,UCCSD,0,8,0,0,0,-1.8822587165363758,-1.9697708824266802,2.2582012272313516,0.8552443494382855,0.3129791293788768,0.15514970661758784
H4,H4_sq_d+0.15_a1.00,0.15,0.981462229240883,HEA,1,8,8,8,7,-1.9815604078555364,-2.0477474708670482,2.1530091069219788,0.8588876564896375,0.1483952376064812,0.12718844206674304
H4,H4_sq_d+0.15_a1.00,0.15,0.981462229240883,HEA,2,8,16,11,14,-1.9815604078555364,-2.0477474708670482,2.1530091069219788,0.8588876564896375,0.1483952376064812,0.12718844206674304
